Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Jouster 21 (Westerly),Fin w/transom hung rudder,Fractional Sloop,21.00 ft / 6.40 m,18.25 ft / 5.56 m,210.00 ft² / 19.51 m²,7.50 ft / 2.29 m,"2,200.00 lb / 998 kg",950.00 lb / 431 kg,3.50 ft / 1.07 m,FG,Iron,1970,1975,146,Westerly Marine Ltd. (UK),Laurent Giles,NA,NA,NA
Carter 2 Ton,Fin with rudder on skeg,Masthead Sloop,40.92 ft / 12.47 m,34.92 ft / 10.64 m,NA,12.25 ft / 3.73 m,"18,630.00 lb / 8,450 kg","8,600.00 lb / 3,901 kg",6.92 ft / 2.11 m,FG,Lead,1980,NA,12,NA,Richard Carter,NA,NA,NA
Alberg 34,Long Keel,Masthead Sloop,34.08 ft / 10.39 m,25.50 ft / 7.77 m,567.00 ft² / 52.68 m²,10.08 ft / 3.07 m,"14,000.00 lb / 6,350 kg","6,500.00 lb / 2,948 kg",5.25 ft / 1.60 m,FG,NA,1984,NA,4,Nye Yachts (CAN),Carl Alberg,NA,NA,NA
Pembroke 26 (Westerly),Fin w/transom hung rudder,Masthead Sloop,26.00 ft / 7.92 m,21.33 ft / 6.50 m,210.00 ft² / 19.51 m²,8.32 ft / 2.54 m,"6,578.00 lb / 2,984 kg","2,480.00 lb / 1,125 kg",4.25 ft / 1.30 m,FG,NA,1976,1979,97,Westerly Marine Ltd. (UK),Laurent Giles,NA,NA,NA
F-31 Sport Cruiser,Trimaran Dbrd.,Fractional Sloop,30.83 ft / 9.40 m,30.00 ft / 9.14 m,599.00 ft² / 55.65 m²,22.42 ft / 6.83 m,"3,630.00 lb / 1,647 kg",NA,5.50 ft / 1.68 m,FG,NA,1992,NA,NA,Pearson Tillotson(Corsair M.),Ian Farrier,1.67 ft / 0.51 m,NA,NA
Marea 39,Fin w/spade rudder,Masthead Sloop,39.33 ft / 11.99 m,33.83 ft / 10.31 m,715.00 ft² / 66.43 m²,12.75 ft / 3.89 m,"21,164.00 lb / 9,600 kg","7,800.00 lb / 3,538 kg",6.90 ft / 2.10 m,FG,NA,1984,NA,50,NA,Vallicelli,NA,NA,NA
J/92,Fin w/bulb & spade rudder,Fractional Sloop,30.00 ft / 9.14 m,25.80 ft / 7.86 m,470.00 ft² / 43.66 m²,10.00 ft / 3.05 m,"5,500.00 lb / 2,495 kg","2,275.00 lb / 1,032 kg",5.90 ft / 1.80 m,FG,NA,1992,2003,180,J Boats Tillotson Pearson (USA),Rod Johnstone,NA,NA,NA
F-27 Sport Cruiser,Trimaran Dbrd.,Fractional Sloop,27.08 ft / 8.25 m,26.25 ft / 8.00 m,446.00 ft² / 41.43 m²,19.08 ft / 5.82 m,"2,600.00 lb / 1,179 kg",NA,4.92 ft / 1.50 m,FG,NA,1986,NA,450,Corsair Marine (USA),Ian Farrier,1.17 ft / 0.36 m,NA,NA
Kaufman 46,Fin w/spade rudder,Masthead Sloop,46.00 ft / 14.02 m,37.00 ft / 11.28 m,993.00 ft² / 92.25 m²,13.33 ft / 4.06 m,"21,000.00 lb / 9,525 kg","12,000.00 lb / 5,443 kg",8.25 ft / 2.51 m,FG,NA,1981,NA,NA,Snug Harbor Boat Works (USA),Scott Kaufman,NA,NA,NA
F-24 Sport Cruiser,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),24.17 ft / 7.37 m,23.58 ft / 7.19 m,401.00 ft² / 37.25 m²,17.92 ft / 5.46 m,"1,800.00 lb / 816 kg",NA,4.67 ft / 1.42 m,FG /Fm. core,NA,1991,1994,NA,Corsair Marine (USA),Ian Farrier,1.00 ft / 0.30 m,NA,NA
Cape Dory 32,Long Keel,Masthead Sloop,32.16 ft / 9.80 m,24.17 ft / 7.37 m,509.00 ft² / 47.29 m²,9.92 ft / 3.02 m,"11,750.00 lb / 5,330 kg","4,700.00 lb / 2,132 kg",4.92 ft / 1.50 m,FG,NA,1986,1988,11,Cape Dory Yachts (USA),Carl Alberg,NA,NA,NA
Gulf Coast 21,Swing Keel,Masthead Sloop,20.50 ft / 6.25 m,17.20 ft / 5.24 m,163.00 ft² / 15.14 m²,7.33 ft / 2.23 m,"1,600.00 lb / 726 kg",550.00 lb / 249 kg,4.00 ft / 1.22 m,FG,NA,1972,NA,NA,Gulf Coast Sailboats (USA),Martin Bludworth,0.82 ft / 0.25 m,NA,NA
Hylas 42 Sd,Fin w/spade rudder,Masthead Sloop,42.08 ft / 12.83 m,33.50 ft / 10.21 m,826.00 ft² / 76.74 m²,13.00 ft / 3.96 m,"17,600.00 lb / 7,983 kg","8,800.00 lb / 3,992 kg",6.20 ft / 1.89 m,FG,NA,1985,NA,NA,Queen Long Matire Co. Ltd.,German Frers,NA,NA,NA
Swan 651,Fin with rudder on skeg,Masthead Sloop,65.68 ft / 20.02 m,55.08 ft / 16.79 m,"2,088.00 ft² / 193.98 m²",17.50 ft / 5.33 m,"75,500.00 lb / 34,246 kg","31,700.00 lb / 14,379 kg",11.50 ft / 3.51 m,FG,Lead,1982,1991,19,Nautor,German Frers,NA,NA,NA
Swan 59,Fin w/spade rudder,Masthead Sloop,58.67 ft / 17.88 m,48.15 ft / 14.68 m,NA,16.40 ft / 5.00 m,"62,400.00 lb / 28,304 kg","22,800.00 lb / 10,342 kg",11.18 ft / 3.41 m,FG,Lead,1984,1990,21,Nautor,German Frers,NA,NA,NA
Newport 212,Swing Keel,Fractional Sloop,21.16 ft / 6.45 m,19.08 ft / 5.82 m,182.00 ft² / 16.91 m²,7.67 ft / 2.34 m,"1,500.00 lb / 680 kg",400.00 lb / 181 kg,5.00 ft / 1.52 m,FG,NA,1972,1976,NA,Newport Boats (USA),Harry R. Sindle,0.83 ft / 0.25 m,NA,NA
Tripp 33,Lifting Keel,Fractional Sloop,33.00 ft / 10.06 m,28.00 ft / 8.53 m,540.00 ft² / 50.17 m²,10.33 ft / 3.15 m,"6,100.00 lb / 2,767 kg","2,700.00 lb / 1,225 kg",7.00 ft / 2.13 m,FG,Lead,1992,NA,23,Carroll Marine (USAe 12),Bill Tripp III,4.67 ft / 1.42 m,NA,NA
Slocum 43,Fin with rudder on skeg,Cutter,42.50 ft / 12.95 m,35.83 ft / 10.92 m,810.00 ft² / 75.25 m²,12.92 ft / 3.94 m,"28,104.00 lb / 12,748 kg","9,000.00 lb / 4,082 kg",6.30 ft / 1.92 m,FG,NA,1981,1990,60,Cruising Yachts Int./Formosa,Stan Hundtingford,NA,NA,NA
Com-Pac 16,Fin w/transom hung rudder,Fractional Sloop,16.00 ft / 4.88 m,14.00 ft / 4.27 m,115.00 ft² / 10.68 m²,6.00 ft / 1.83 m,"1,100.00 lb / 499 kg",450.00 lb / 204 kg,1.50 ft / 0.46 m,FG,NA,1972,NA,NA,Com-Pac Yachts (USA),Clark Mills,NA,NA,NA
Com-Pac 16 Mk 2,Keel/Cbrd.,Fractional Sloop,16.92 ft / 5.16 m,14.00 ft / 4.27 m,100.00 ft² / 9.29 m²,6.00 ft / 1.83 m,"1,100.00 lb / 499 kg",450.00 lb / 204 kg,3.33 ft / 1.01 m,FG,NA,1975,NA,NA,Com-Pac Yachts (USA),Clark Mills,1.50 ft / 0.46 m,NA,NA
Flying Fifteen,Fin Keel,Fractional Sloop,20.00 ft / 6.10 m,15.00 ft / 4.57 m,142.00 ft² / 13.19 m²,7.00 ft / 2.13 m,725.00 lb / 329 kg,372.00 lb / 169 kg,2.50 ft / 0.76 m,FG or Wood,NA,1948,NA,4000,Various,Uffa Fox,NA,NA,NA
Rhodes 19,Fin w/transom hung rudder,Fractional Sloop,19.17 ft / 5.84 m,17.75 ft / 5.41 m,175.00 ft² / 16.26 m²,7.00 ft / 2.13 m,"1,355.00 lb / 615 kg",415.00 lb / 188 kg,3.25 ft / 0.99 m,FG,Iron,1959,NA,3200,Stuart Marine; O'Day (USA),Philip Rhodes,NA,NA,NA
Victoria 18,Long Keel,Fractional Sloop,18.50 ft / 5.64 m,12.83 ft / 3.91 m,134.00 ft² / 12.45 m²,5.50 ft / 1.68 m,"1,200.00 lb / 544 kg",550.00 lb / 249 kg,2.00 ft / 0.61 m,FG,NA,1977,1983,600,"Victoria Yachts, Inc. (USA)",G. William McVay,NA,NA,NA
Ds-20,Swing Keel,Fractional Sloop,20.42 ft / 6.22 m,18.07 ft / 5.51 m,170.00 ft² / 15.79 m²,7.58 ft / 2.31 m,"1,850.00 lb / 839 kg",650.00 lb / 295 kg,4.00 ft / 1.22 m,FG,NA,1972,1983,NA,Schwill Yachts Inc. (CAN),Diller & Schwill,1.83 ft / 0.56 m,NA,NA
Luders 21,Fin Keel w/bulb,Fractional Sloop,21.25 ft / 6.48 m,16.00 ft / 4.88 m,139.00 ft² / 12.91 m²,5.58 ft / 1.70 m,"1,500.00 lb / 680 kg",435.00 lb / 197 kg,3.00 ft / 0.91 m,"FG hull, Wood Deck",NA,1967,NA,NA,Ron Rawson Inc./ American Plastics Inc. (USA),A. E. Luders,NA,NA,NA
Aquarius 21,Keel/Cbrd.,Fractional Sloop,21.00 ft / 6.40 m,18.25 ft / 5.56 m,163.00 ft² / 15.14 m²,7.82 ft / 2.38 m,"1,900.00 lb / 862 kg",665.00 lb / 302 kg,4.50 ft / 1.37 m,FG,NA,1969,1977,NA,Coastal Recreation Inc. (USA),Peter Barrett,1.00 ft / 0.30 m,NA,NA
Cygnus 20,Centerboard (Trunk),Fractional Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,178.00 ft² / 16.54 m²,7.00 ft / 2.13 m,600.00 lb / 272 kg,NA,2.67 ft / 0.81 m,FG,NA,1965,NA,NA,Hinterholler Ltd. /Skene Boats Ltd. (CAN),George Hinterhoeller,0.67 ft / 0.20 m,NA,NA
